序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,831039,国义招标,14.7,29.97,3.39,193532.0,260359439.45,31.12,14.7,11.18,11.31,11.31,5.78,12.58,50.07,4.39,2261154000.0,2261152530.0,0.0,0.0,50.61,98.65
2,688585,上纬新材,9.34,20.05,1.56,11439.0,10683905.0,0.0,9.34,9.34,9.34,7.78,0.49,0.28,41.77,2.96,3767398540.0,3767398540.0,0.0,0.0,36.95,40.87
3,300778,新城市,17.86,20.03,2.98,404708.0,672253555.81,21.17,17.86,14.71,14.79,14.88,2.14,19.88,154.97,2.84,3644512779.0,3636644020.0,0.0,0.0,72.06,60.04
4,301217,铜冠铜箔,20.26,20.02,3.38,1103656.0,2100552363.21,17.24,20.26,17.35,17.82,16.88,1.92,48.19,883.71,3.12,16795854921.0,4639854921.0,0.0,0.0,115.99,82.85
5,300371,汇中股份,14.09,20.02,2.35,246108.0,340513216.16,13.88,14.09,12.46,12.86,11.74,9.06,18.31,101.7,2.59,2835151701.0,1893842268.0,0.0,0.0,46.16,48.32
6,688529,豪森智能,21.1,20.02,3.52,162097.0,316183368.0,16.38,21.1,18.22,18.96,17.58,8.89,9.64,-28.11,1.78,3548512608.0,3548512608.0,0.0,0.0,30.25,34.48
7,301378,通达海,35.52,20.0,5.92,146001.0,507715737.75,20.74,35.52,29.38,29.67,29.6,5.39,33.29,-28.64,2.59,3431232000.0,1557982112.0,0.0,0.0,43.63,24.02
8,300860,锋尚文化,33.5,19.99,5.58,169112.0,527967240.12,21.49,33.5,27.5,27.56,27.92,3.93,15.11,-1215.94,2.04,6396199991.0,3748567222.0,0.0,0.0,36.79,21.29
9,688528,秦川物联,12.55,19.98,2.09,109462.0,130571917.0,20.84,12.55,10.37,10.5,10.46,11.95,6.52,-17.66,4.09,2108400000.0,2108400000.0,0.0,0.0,49.4,43.43
10,301120,新特电气,14.12,19.97,2.35,698159.0,936096630.1,15.8,14.12,12.26,12.26,11.77,2.45,31.93,143.48,3.47,5244747697.0,3086911039.0,0.0,0.0,69.3,42.91
